name,version,group,internal,resolvedLicense.licenseId,lastInheritedRiskScore,metrics.vulnerabilities
isexe,3.1.1,,,ISC,0,0
isexe,2.0.0,,,ISC,0,0
jackspeak,3.4.3,,,BlueOak-1.0.0,0,0
js,9.24.0,@eslint,,MIT,0,0
js-tokens,4.0.0,,,MIT,0,0
js-yaml,4.1.0,,,MIT,0,0
js-yaml,3.14.1,,,MIT,0,0
jsbn,1.1.0,,,MIT,0,0
jsesc,3.1.0,,,MIT,0,0
json-buffer,3.0.1,,,MIT,0,0
json-schema,7.0.15,@types,,MIT,0,0
json-schema-traverse,1.0.0,,,MIT,0,0
json-schema-traverse,0.4.1,,,MIT,0,0
json-stable-stringify-without-jsonify,1.0.1,,,MIT,0,0
json5,2.2.3,,,MIT,0,0
keyv,4.5.4,,,MIT,0,0
levn,0.4.1,,,MIT,0,0
libxmljs2,0.35.0,,,MIT,10,2
linux-x64,0.25.2,@esbuild,,MIT,0,0
locate-path,6.0.0,,,MIT,0,0
lodash,4.17.21,,,MIT,0,0
lodash.merge,4.6.2,,,MIT,0,0
loose-envify,1.4.0,,,MIT,0,0
lru-cache,5.1.1,,,ISC,0,0
lru-cache,10.4.3,,,ISC,0,0
make-fetch-happen,13.0.1,,,ISC,0,0
merge2,1.4.1,,,MIT,0,0
micromatch,4.0.8,,,MIT,0,0
mimic-response,3.1.0,,,MIT,0,0
minimatch,9.0.5,,,ISC,0,0
minimatch,3.1.2,,,ISC,0,0
minimist,1.2.8,,,MIT,0,0
minipass,7.1.2,,,ISC,0,0
minipass,5.0.0,,,ISC,0,0
minipass,3.3.6,,,ISC,0,0
minipass-collect,2.0.1,,,ISC,0,0
minipass-fetch,3.0.5,,,MIT,0,0
minipass-flush,1.0.5,,,ISC,0,0
minipass-pipeline,1.2.4,,,ISC,0,0
minipass-sized,1.0.3,,,ISC,0,0
minizlib,2.1.2,,,MIT,0,0
mkdirp,1.0.4,,,MIT,0,0
mkdirp-classic,0.5.3,,,MIT,0,0
module-importer,1.0.1,@humanwhocodes,,Apache-2.0,0,0
moo,0.5.2,,,BSD-3-Clause,0,0
ms,2.1.3,,,MIT,0,0
nan,2.20.0,,,MIT,0,0
nanoid,3.3.11,,,MIT,0,0
napi-build-utils,2.0.0,,,MIT,0,0
natural-compare,1.4.0,,,MIT,0,0
nearley,2.20.1,,,MIT,0,0
negotiator,0.6.4,,,MIT,0,0
node,0.16.6,@humanfs,,Apache-2.0,0,0
node-abi,3.74.0,,,MIT,0,0
node-gyp,10.3.1,,,MIT,0,0
node-releases,2.0.19,,,MIT,0,0
nopt,7.2.1,,,ISC,0,0
normalize-package-data,7.0.0,,,BSD-2-Clause,0,0
object-assign,4.1.1,,,MIT,0,0
object-schema,2.1.6,@eslint,,Apache-2.0,0,0
once,1.4.0,,,ISC,0,0
optionator,0.9.4,,,MIT,0,0
p-limit,3.1.0,,,MIT,0,0
p-locate,5.0.0,,,MIT,0,0
p-map,4.0.0,,,MIT,0,0
package-json-from-dist,1.0.1,,,BlueOak-1.0.0,0,0
packageurl-js,2.0.1,,,MIT,0,0
parent-module,1.0.1,,,MIT,0,0
parseargs,0.11.0,@pkgjs,,MIT,0,0
parser,8.29.1,@typescript-eslint,,MIT,0,0
parser,7.27.0,@babel,,MIT,0,0
path-exists,4.0.0,,,MIT,0,0
path-key,3.1.1,,,MIT,0,0
path-scurry,1.11.1,,,BlueOak-1.0.0,0,0
picocolors,1.1.1,,,ISC,0,0
picomatch,2.3.1,,,MIT,0,0
plugin-kit,0.2.8,@eslint,,Apache-2.0,0,0
plugin-react,4.3.4,@vitejs,,MIT,0,0
plugin-transform-react-jsx-self,7.25.9,@babel,,MIT,0,0
plugin-transform-react-jsx-source,7.25.9,@babel,,MIT,0,0
postcss,8.5.3,,,MIT,0,0
prebuild-install,7.1.3,,,MIT,0,0
prelude-ls,1.2.1,,,MIT,0,0
proc-log,4.2.0,,,ISC,0,0
promise-retry,2.0.1,,,MIT,0,0
prop-types,15.8.1,,,MIT,0,0
pump,3.0.2,,,MIT,0,0
punycode,2.3.1,,,MIT,0,0
queue-microtask,1.2.3,,,MIT,0,0
railroad-diagrams,1.0.0,,,CC0-1.0,5,1
randexp,0.4.6,,,MIT,0,0
rc,1.2.8,,,,0,0
react,19.1.1,@types,,MIT,0,0
react,19.1.0,,,MIT,0,0
react-dom,19.1.2,@types,,MIT,0,0
react-dom,19.1.0,,,MIT,0,0
react-is,18.3.1,,,MIT,0,0
react-is,16.13.1,,,MIT,0,0
react-refresh,0.14.2,,,MIT,0,0
react-router,7.5.0,,,MIT,0,0
react-router-dom,7.5.0,,,MIT,0,0
react-smooth,4.0.4,,,MIT,0,0
react-transition-group,4.4.5,,,BSD-3-Clause,0,0
readable-stream,3.6.2,,,MIT,0,0
recharts,2.15.2,,,MIT,0,0
recharts-scale,0.4.5,,,MIT,0,0
regenerator-runtime,0.14.1,,,MIT,0,0
regexpp,4.12.1,@eslint-community,,MIT,0,0
remapping,2.3.0,@ampproject,,Apache-2.0,0,0
require-from-string,2.0.2,,,MIT,0,0
resolve-from,4.0.0,,,MIT,0,0
resolve-uri,3.1.2,@jridgewell,,MIT,0,0
ret,0.1.15,,,MIT,0,0
retry,0.4.2,@humanwhocodes,,Apache-2.0,0,0
retry,0.3.1,@humanwhocodes,,Apache-2.0,0,0
retry,0.12.0,,,MIT,0,0
reusify,1.1.0,,,MIT,0,0
rollup,4.39.0,,,MIT,0,0
rollup-linux-x64-gnu,4.39.0,@rollup,,MIT,0,0
rollup-linux-x64-musl,4.39.0,@rollup,,MIT,0,0
run-parallel,1.2.0,,,MIT,0,0
runtime,7.27.0,@babel,,MIT,0,0
safe-buffer,5.2.1,,,MIT,0,0
safer-buffer,2.1.2,,,MIT,0,0
scheduler,0.26.0,,,MIT,0,0
schemes,1.4.0,,,MIT,0,0
scope-manager,8.29.1,@typescript-eslint,,MIT,0,0
semver,7.7.1,,,ISC,0,0
semver,6.3.1,,,ISC,0,0
set-array,1.2.1,@jridgewell,,MIT,0,0
set-cookie-parser,2.7.1,,,MIT,0,0
shebang-command,2.0.0,,,MIT,0,0
shebang-regex,3.0.0,,,MIT,0,0
signal-exit,4.1.0,,,ISC,0,0
simple-concat,1.0.1,,,MIT,0,0
simple-get,4.0.1,,,MIT,0,0
smart-buffer,4.2.0,,,MIT,0,0
smtp-address-parser,1.1.0,,,MIT,0,0
socks,2.8.4,,,MIT,0,0
socks-proxy-agent,8.0.5,,,MIT,0,0
source-map-js,1.2.1,,,BSD-3-Clause,0,0
sourcemap-codec,1.5.0,@jridgewell,,MIT,0,0
spdx-correct,3.2.0,,,Apache-2.0,0,0
spdx-exceptions,2.5.0,,,CC-BY-3.0,0,0
spdx-expression-parse,4.0.0,,,MIT,0,0
spdx-expression-parse,3.0.1,,,MIT,0,0
spdx-license-ids,3.0.21,,,CC0-1.0,0,0
sprintf-js,1.1.3,,,BSD-3-Clause,0,0
sprintf-js,1.0.3,,,BSD-3-Clause,0,0
ssri,10.0.6,,,ISC,0,0
string-width,5.1.2,,,MIT,0,0
string-width,4.2.3,,,MIT,0,0
string_decoder,1.3.0,,,MIT,0,0
strip-ansi,7.1.0,,,MIT,0,0
strip-ansi,6.0.1,,,MIT,0,0
strip-json-comments,3.1.1,,,MIT,0,0
strip-json-comments,2.0.1,,,MIT,0,0
supports-color,7.2.0,,,MIT,0,0
tar,6.2.1,,,ISC,0,0
tar-fs,2.1.2,,,MIT,0,0
tar-stream,2.2.0,,,MIT,0,0
template,7.27.0,@babel,,MIT,0,0
tiny-invariant,1.3.3,,,MIT,0,0
to-regex-range,5.0.1,,,MIT,0,0
trace-mapping,0.3.25,@jridgewell,,MIT,0,0
traverse,7.27.0,@babel,,MIT,0,0
ts-api-utils,2.1.0,,,MIT,0,0
tunnel-agent,0.6.0,,,Apache-2.0,0,0
turbo-stream,2.4.0,,,ISC,0,0
type-check,0.4.0,,,MIT,0,0
type-utils,8.29.1,@typescript-eslint,,MIT,0,0
types,8.29.1,@typescript-eslint,,MIT,0,0
types,7.27.0,@babel,,MIT,0,0
typescript,5.7.3,,,Apache-2.0,0,0
typescript-eslint,8.29.1,,,MIT,0,0
typescript-estree,8.29.1,@typescript-eslint,,MIT,0,0
unique-filename,3.0.0,,,ISC,0,0
unique-slug,4.0.0,,,ISC,0,0
update-browserslist-db,1.1.3,,,MIT,0,0
uri-js,4.4.1,,,BSD-2-Clause,0,0
url,1.0.4,@oozcitak,,MIT,0,0
util,8.3.8,@oozcitak,,MIT,0,0
util-deprecate,1.0.2,,,MIT,0,0
utils,8.29.1,@typescript-eslint,,MIT,0,0
validate-npm-package-license,3.0.4,,,Apache-2.0,0,0
victory-vendor,36.9.2,,,,0,0
visitor-keys,8.29.1,@typescript-eslint,,MIT,0,0
vite,6.2.6,,,MIT,0,0
which,4.0.0,,,ISC,0,0
which,2.0.2,,,ISC,0,0
word-wrap,1.2.5,,,MIT,0,0
wrap-ansi,8.1.0,,,MIT,0,0
wrap-ansi,7.0.0,,,MIT,0,0
wrappy,1.0.2,,,ISC,0,0
xmlbuilder2,3.1.1,,,MIT,0,0
yallist,4.0.0,,,ISC,0,0
yallist,3.1.1,,,ISC,0,0
yarn-plugin-cyclonedx,3.0.2,@cyclonedx,,Apache-2.0,0,0
yocto-queue,0.1.0,,,MIT,0,0
